S.No,Issue Description,Location,Priority,Status,WCAG Guideline,Assigned To,Created Date,Recommendation
40,"Insufficient color contrast for text: The contrast ratio between the foreground color of the green text with its background color is below the required 4.5:1 ratio.

 Foreground colour: #56AD6A
 Background colour: #ECFEF0
 Contrast ratio: 2.6:1",Home,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
41,"Insufficient color contrast for text: The contrast ratio between the foreground color of the placeholder text with its background color is below the required 4.5:1 ratio.

 Foreground colour: #CFCFCF
 Background colour: #FFFFFF
 Contrast ratio: 1.6:1",Home,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
42,"Incorrect heading level: Incorrect heading level <h3> provided for below mentioned text instead of <h2>.
- PRODUCTS
- APPS
- COMMUNITY
- SUPPORT
- FOLLOW US
- GET THE LATEST
DEALS, DROPS, & more.
- DOWNLOAD the official blue tees golf game™ APP",Footer,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Make sure heading levels are structured in a hierarchical manner. This makes navigation much faster for screen reader and keyboard users.

In this case, replace <h3> tag with <h2> element.

Example code:
<h2>STAY IN THE LOOP</h2>
     

Resources
HeadingsMap extension:
https://chrome.google.com/webstore/detail/headingsmap/flbjommegcjonpdmenkdiocclhjacmbi

Headings and page structure:
https://www.w3.org/WAI/tutorials/page-structure/headings/"
43,"Informative image is missing alternative text: The image is rendered with an empty alt attribute (alt="""") even though it appears to convey meaningful information (e.g., a brand, partner, certification, or promotional logo). As a result, screen reader users are not informed of the image's purpose or content because it is treated as decorative and ignored by assistive technologies.",Footer,None,Not Started,1.1.1 – Non-text Content (Level A),Unassigned,01/01/1970,"Provide concise and meaningful alternative text that describes the purpose or content of the image. The alternative text should convey the same information available visually e.g., ""Play Different""."
44,"Insufficient color contrast for non-text content: The contrast ratio between the foreground color of the focus indicator with its background color is less than 3:1.

 Foreground colour: #004DF5
 Background colour: #272933
 Contrast ratio: 2.3:1",Footer,None,Not Started,1.4.11 Non-text Contrast (Level AA 2.1 ),Unassigned,01/01/1970,"Ensure that the contrast ratio between the element and its background is of at least 3.0:1. 

Resources:
Non-text contrast:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html

Contrast (Minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)

Color contrast analyser:
https://www.tpgi.com/color-contrast-checker/"
45,Incorrect heading level: Incorrect heading level <h3> provided for 'BLUE TEES ONLINE EXCLUSIVE' text instead of <h2>.,All Blue Tees Golf Products,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Make sure heading levels are structured in a hierarchical manner. This makes navigation much faster for screen reader and keyboard users.

In this case, replace <h3> tag with <h2> element.

Example code:
<h2 class=""tees_heading-text"">BLUE TEES<br> ONLINE EXCLUSIVE</h2>

Resources
HeadingsMap extension:
https://chrome.google.com/webstore/detail/headingsmap/flbjommegcjonpdmenkdiocclhjacmbi

Headings and page structure:
https://www.w3.org/WAI/tutorials/page-structure/headings/"
46,"Redundant links to the same destination increase keyboard navigation effort: The product card contains multiple keyboard-focusable links that navigate to the same product details page (e.g., the product image and the ""SHOP NOW"" button). While both links have meaningful accessible names and perform the same action, they create additional tab stops without providing any additional functionality.

Keyboard users must navigate through multiple controls to reach subsequent interactive elements, and screen reader users may hear repetitive link announcements for the same destination. This can increase navigation time and reduce efficiency, particularly on pages containing many product cards.",All Blue Tees Golf Products,None,Not Started,2.4.3 Focus Order (Level A),Unassigned,01/01/1970,"Where appropriate, reduce redundant interactive elements by:

Making the entire product card a single interactive link; or
Retaining only one primary link to the product details page while ensuring all relevant information remains accessible."
47,"Image link receives keyboard focus twice: The product image link receives keyboard focus twice during sequential keyboard navigation, even though it represents a single interactive element. As a result, keyboard users encounter duplicate focus stops before moving to the next interactive control.

This creates an inefficient and confusing keyboard navigation experience, requiring users to tab through the same control multiple times. Screen reader users may also hear the same link announced repeatedly, increasing cognitive load and making navigation more time-consuming.

Note: This issue was observed only on product cards that include the color swatch (quick-add) options. Product cards without the quick-add-swatches fieldset did not exhibit this behavior. This suggests the duplicate keyboard focus may be introduced by the quick-add swatch implementation or its associated scripting.",All Blue Tees Golf Products,None,Not Started,2.4.3 Focus Order (Level A),Unassigned,01/01/1970,"Ensure that the product image link is exposed as a single keyboard-focusable element. Review the implementation to identify and remove any duplicate focusable elements, overlapping links, cloned nodes, or JavaScript behavior causing the same link to receive focus multiple times.

Verify that each interactive element receives keyboard focus only once in the intended tab order."
48,"Color swatches are not keyboard accessible: The color swatches within the product cards are not operable using the keyboard. Keyboard users are unable to navigate to the individual swatch options using the Tab key or interact with them to select different product variants.

As a result, users who rely on a keyboard cannot access or select available color options before activating the ""Shop Now"" button. This creates a barrier for keyboard-only and screen reader users and may prevent them from purchasing their preferred product variant independently.

Note: This issue was observed on product cards that include the quick-add color swatches.",All Blue Tees Golf Products,None,Not Started,"2.1.1 Keyboard (Level A

2.4.7 Focus Visible (Level AA)

4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Ensure that each color swatch is fully keyboard accessible. Users should be able to:

Navigate to the swatch group using the keyboard.
Move between individual swatches using the Arrow keys, as expected for radio button groups.
Select a swatch using Space (or Enter, where appropriate).
Receive a visible keyboard focus indicator on the currently focused swatch.
Have the selected and focused state programmatically conveyed to assistive technologies.

If native radio buttons are visually hidden, ensure they remain keyboard focusable and are not removed from the accessibility tree or tab order."
49,"Insufficient color contrast for text: The contrast ratio between the foreground color of the white text with its red background color is below the required 4.5:1 ratio.

 Foreground colour: #FFFFFF
 Background colour: #FFFFFF
 Contrast ratio: 4:1",All Blue Tees Golf Products,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
50,"Insufficient color contrast for text: The contrast ratio between the foreground color of the white text with its blue background color is below the required 4.5:1 ratio.

 Foreground colour: #FFFEFE
 Background colour: #7FA5F9
 Contrast ratio: 2.4:1",All Blue Tees Golf Products,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
51,"Insufficient color contrast for text: The contrast ratio between the foreground color of the gray text with its blue background color is below the required 4.5:1 ratio.

 Foreground colour: #C1BFBF
 Background colour: #FFFCFC
 Contrast ratio: 1.8:1",All Blue Tees Golf Products,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
52,"Insufficient color contrast for non-text content: The contrast ratio between the foreground color of the focus indicator with its background color is less than 3:1.

 Foreground colour: #7FA5F9
 Background colour: #FFFCFC
 Contrast ratio: 2.4:1",All Blue Tees Golf Products,None,Not Started,1.4.11 Non-text Contrast (Level AA 2.1 ),Unassigned,01/01/1970,"Ensure that the contrast ratio between the element and its background is of at least 3.0:1. 

Resources:
Non-text contrast:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html

Contrast (Minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)

Color contrast analyser:
https://www.tpgi.com/color-contrast-checker/"
53,"Visible promotional information in the image is not conveyed through the text alternative: The promotional badge is implemented as an image that conveys meaningful information to sighted users. However, the image's alternative text (alt=""Offer Bug for captain pro connected gps rangefinder"") does not communicate the visible promotional information displayed within the image.

As a result, screen reader users are informed only that an ""offer bug"" is present but are not provided with the actual promotional message (for example, ""100-Day Guarantee"" or similar text displayed visually). This creates an information mismatch where meaningful content available visually is not made available to users of assistive technologies.

If the promotional badge communicates information that influences a purchasing decision or provides additional product information, an equivalent text alternative must convey the same information.",Captain Pro Golf Rangefinder,None,Not Started,1.1.1 Non-text Content (Level A),Unassigned,01/01/1970,"Provide alternative text that communicates the same meaningful information presented visually within the promotional badge. The alternative text should describe the promotional message rather than the presence of the image itself.

For example, if the badge displays ""100-Day Guarantee"", the alternative text should communicate that information.

Example include:
<span class=""product__offer-bug"">
    <img
        src=""100_DAY_PDP_BUG.svg""
        alt=""100-Day Money Back +Free shipping"">
</span>"
54,"Feature names and descriptions should use description list markup: The feature names and their corresponding descriptions are currently marked up using heading elements (<h3> and <h5>). Although this is valid HTML, the content represents a series of terms and their associated descriptions rather than a document heading hierarchy.

Using heading elements for this type of content does not programmatically convey the relationship between each feature and its description. Screen reader users navigating by headings may also encounter unnecessary heading stops that do not represent distinct sections of the page.

A description list (<dl>, <dt>, and <dd>) is the more semantically appropriate markup for presenting feature names and their corresponding descriptions, allowing assistive technologies to correctly identify and announce the relationship between each term and its description.",Captain Pro Golf Rangefinder,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Use a semantic description list (<dl>, <dt>, and <dd>) to represent the feature names and their corresponding descriptions, as this most accurately reflects the relationship between the content.

Alternatively, if the intention is to present this content using headings rather than a description list, ensure that the headings follow a logical hierarchy. For example, use an <h2> for the section heading elements for each individual feature title. The descriptive text should be marked up as paragraph content (<p>) instead of additional heading elements."
55,"Strikethrough formatting used to indicate the original price is not conveyed to assistive technologies: The original product price is visually presented using strikethrough formatting to indicate that it is no longer the current price. However, this visual relationship is not programmatically conveyed to assistive technology users.

Screen readers typically announce only the text content (for example, ""$39.50"") and do not convey that the value is visually struck through or represents the previous/original price. As a result, users of assistive technologies may not understand that the displayed amount is the original price rather than the current selling price.

When visual styling is used to communicate meaningful information, an equivalent programmatic indication should also be provided.",Captain Pro Golf Rangefinder,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Ensure the original price is programmatically identified as the previous or compare-at price rather than relying solely on visual strikethrough styling.

Provide descriptive text that is available to assistive technologies, such as ""Original price"" or ""Was,"" before the compare-at price. If appropriate, the visual label may be hidden visually while remaining available to screen readers.

Example code:
<p class=""price"">

    <span class=""visually-hidden"">Original price:</span>
    <del aria-hidden=""true"">$39.50</del>
    <span class=""visually-hidden"">$39.50</span>

    <span class=""visually-hidden"">Current price:</span>
    <span>$29.50</span>

</p>"
56,"Meaningful information presented in the image is not conveyed through the text alternative: The product feature image contains multiple icons and accompanying text that communicate important product capabilities, including GPS distance measurements, brightness control, waterproof rating, shot tracking, rechargeable battery, Bluetooth connectivity, display features, and other specifications.

The alternative text identifies only the company logo and does not communicate the meaningful information presented within the image. As a result, screen reader users cannot access the same product feature information that is available visually to sighted users.",Captain Pro Golf Rangefinder,None,Not Started,1.1.1 Non-text Content (Level A),Unassigned,01/01/1970,"The image is intended to communicate product features, provide an equivalent text alternative that conveys the same information.

Because this image contains numerous feature descriptions, it should be treated as a complex informational image. Rather than placing all of the content within the alt attribute, provide:

a concise alt attribute identifying the image, and
an accessible HTML equivalent adjacent to the image or referenced using aria-describedby.

The accessible content should include all information presented within the image, including:

Front, Center, Back GPS Distances
Vibrant Brightness Control for all Conditions
IP67 Dust + Waterproof
""Find My"" Rangefinder
Shot Tracking for Post Game Round Analysis
Rechargeable USB-C Battery
Flag Lock with Vibration
1200-Yard Range
Bluetooth Connected with GAME App Compatibility
Multi-Color OLED Display
Tour-Ready Slope Button
7X Magnification
Heavy-Duty Magnetic Strip"
57,"Informative image does not provide an alternative text: The informative image is implemented with an empty alternative text (alt=""""), causing it to be ignored by assistive technologies.

Because the image conveys meaningful information, an empty alt attribute prevents screen reader users from accessing the information available to sighted users. As a result, users of assistive technologies may miss important content communicated by the image.",Captain Pro Golf Rangefinder,None,Not Started,1.1.1 Non-text Content (Level A),Unassigned,01/01/1970,"Provide meaningful alternative text that communicates the same purpose or information conveyed by the image.

The alternative text should describe the image's purpose or the information it communicates rather than its visual appearance. If the image contains complex information, provide a concise alt attribute and make the complete information available as accessible HTML adjacent to the image or by using an associated description (for example, aria-describedby).

Only use an empty alt attribute (alt="""") when the image is purely decorative and does not convey information or functionality.

Example code:
<img
    src=""Group_1410105141_1.png""
    alt=""Captain Pro your secret to smarter golf"">"
58,"Alternative text does not convey the meaningful information presented in the image: The hero image contains meaningful visual content and text that is available to sighted users. However, the image is provided with generic alternative text (alt=""Hero Image""), which does not communicate the information presented within the image.

Generic alternative text such as ""Hero Image"" identifies only the presence of an image and does not provide an equivalent text alternative for the meaningful content it conveys. As a result, screen reader users are unable to access the same information that is available visually.",Captain Pro Golf Rangefinder,None,Not Started,1.1.1 Non-text Content (Level A),Unassigned,01/01/1970,"Replace the generic alternative text with text that accurately communicates the purpose and meaningful information presented in the image.

If the image contains a significant amount of text or complex promotional content, provide a concise alt attribute that identifies the image and make the complete content available as accessible HTML adjacent to the image or by using aria-describedby.

The alternative text should describe the purpose and information conveyed by the image rather than simply identifying it as a hero image."
59,"Interactive rating filters are implemented within a data table: The review rating filters are implemented as interactive buttons (role=""button"") inside a table used for layout rather than for tabular data. Since the table does not represent a data relationship between rows and columns, screen reader users may incorrectly interpret the content as tabular information instead of a group of interactive filter controls. This can make the interface confusing and reduce navigation efficiency.",Captain Pro Golf Rangefinder,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"The content is intended to function as a set of filter controls rather than tabular data, replace the table markup with a semantically appropriate structure such as a list (<ul>/<li>) or a group of buttons contained within a <div> or <fieldset>. Reserve table markup only for genuine tabular data."
60,"Insufficient color contrast for non-text content: The contrast ratio between the foreground color of the rating indicator with its background color is less than 3:1.

 Foreground colour: #FFFFFF
 Background colour: #F5F5F5
 Contrast ratio: 1.1:1",Captain Pro Golf Rangefinder,None,Not Started,1.4.11 Non-text Contrast (Level AA 2.1 ),Unassigned,01/01/1970,"Ensure that the contrast ratio between the element and its background is of at least 3.0:1. 

Resources:
Non-text contrast:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html

Contrast (Minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)

Color contrast analyser:
https://www.tpgi.com/color-contrast-checker/"
61,"Color alone used to indicate focus indicator: A change in color is used to visually convey the fcous indicator, and the contrast difference between the states is less than 3:1.

Contrast Details
Focus indicator color: #E8E8E8
Default Element color: #FFFFFF
Contrast Ratio: 1.2:1",Captain Pro Golf Rangefinder,None,Not Started,"1.4.1 Use of Color (Level A)
1.4.11 Non-text Contrast (Level AA 2.1 )",Unassigned,01/01/1970,"Any information conveyed by color MUST be accompanied by a visible alternative (text, image, adequate contrast, etc.) that does not depend on color for meaning.

Fix this issue by doing the following:
1. Increase the contrast between the background colors of the different states to be at least 3.0 to 1.
2. Provide an additional visual indication of the change in state such as: a box around the control; an underline; an icon; change in text size, weight or font, etc. Ensure the additional indicator has contrast of at least 3.0 to 1 with its adjacent colors to also pass 1.4.11. Non-text Contrast.

Resources:
Using a contrast ratio of 3:1 with surrounding text and providing additional visual cues on focus for links or controls where colour alone is used to identify them:
https://www.w3.org/WAI/WCAG21/Techniques/general/G183

Failure due to creating links that are not visually evident without colour vision:
https://www.w3.org/TR/WCAG20-TECHS/F73.html"
62,"Review cards are focusable without an appropriate role or descriptive accessible name: Each review card is keyboard focusable (tabindex=""0""), but it does not expose an appropriate interactive role or a descriptive accessible name. When the review card receives focus, screen readers announce the content in a non-descriptive manner, making it unclear that the element is interactive and activates a dialog containing the full review. Users relying on assistive technologies may not understand the purpose of the element or the action that will occur upon activation.

Additionally, activating the review card opens a dialog, but the triggering element does not programmatically indicate this behavior (e.g., using aria-haspopup=""dialog""), resulting in an unexpected context change for screen reader users.",Captain Pro Golf Rangefinder,None,Not Started,"1.3.1 Info and Relationships (Level A)

4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Use a native <button> element (or an element with role=""button"") for the interactive review card instead of a generic focusable <div>.
Provide a meaningful accessible name that clearly identifies the action, for example: ""Open review by Tyler, rated 5 out of 5 stars, submitted on July 2, 2026.""
Indicate that activating the control opens a dialog by exposing aria-haspopup=""dialog"".
Ensure the dialog itself implements role=""dialog"" (or alertdialog where appropriate), has an accessible name (aria-labelledby or aria-label), properly manages keyboard focus, and returns focus to the triggering review card when closed."
63,"Review filter is not fully keyboard accessible due to container-level focus: The review rating distribution is implemented as a focusable container (role=""region"" with tabindex=""0""), causing keyboard focus to land on the entire section before users can access the individual rating filter buttons. This creates an unnecessary focus stop and makes navigation less efficient. Additionally, the rating filter options are not implemented as a proper grouped control (for example, a radio group or list of buttons), preventing assistive technology users from understanding that these controls belong to the same filter set and allowing inefficient navigation between options.

Keyboard-only users must tab through an additional non-interactive container before reaching the actual controls, while screen reader users are not provided with a clear semantic relationship between the filter options or an indication that they form a single rating filter group.",Captain Pro Golf Rangefinder,None,Not Started,"2.1.1 Keyboard – Level A
1.3.1 Info and Relationships – Level A
4.1.2 Name, Role, Value – Level A",Unassigned,01/01/1970,"Remove the unnecessary tabindex=""0"" from the container unless the region itself is intended to be interactive. Ensure keyboard focus lands directly on the individual rating filter controls.

Group the rating options using an appropriate semantic structure, such as:

A radiogroup containing radio buttons if only one rating can be selected at a time, or
A semantically grouped list of buttons if multiple selections are supported.

Ensure each option exposes its current selected state programmatically (aria-checked or aria-pressed, as appropriate) and that users can efficiently navigate between the options using standard keyboard interaction patterns."
64,"Sort menu button does not convey expanded/collapsed state to assistive technologies: The sort reviews button opens a menu containing sorting options; however, it does not programmatically expose its current state (expanded or collapsed) to assistive technologies. The button only provides an accessible name (""Sort reviews by menu"") and lacks attributes such as aria-expanded and aria-controls.

As a result, screen reader users cannot determine whether the sort menu is currently open or closed after activating the button. This creates uncertainty when interacting with the control and may lead users to believe their action was unsuccessful.",Captain Pro Golf Rangefinder,None,Not Started,"4.1.2 Name, Role, Value — Level A
1.3.1 Info and Relationships — Level A",Unassigned,01/01/1970,"Ensure the button exposes its current state programmatically by:

Adding aria-expanded=""false"" when the menu is collapsed and updating it to aria-expanded=""true"" when the menu is expanded.
Using aria-controls to reference the associated menu container.
Ensuring the menu is implemented using appropriate menu/listbox semantics and that focus is managed correctly when the menu opens and closes."
65,"Write a review button does not identify that it opens a dialog: The ""Write a review"" button opens a modal dialog; however, it does not programmatically indicate that it triggers a dialog. The button is missing the aria-haspopup=""dialog"" attribute, which informs assistive technologies that activating the control will open a dialog.

As a result, screen reader users are not provided with advance notice that a context change will occur, making the interaction less predictable.",Captain Pro Golf Rangefinder,None,Not Started,"4.1.2 Name, Role, Value – Level A",Unassigned,01/01/1970,"Ensure the button identifies that it opens a dialog by adding aria-haspopup=""dialog"". Additionally, associate the button with the dialog using aria-controls (where applicable), move keyboard focus to the dialog when it opens, trap focus within the dialog while it is displayed, and return focus to the triggering button when the dialog is closed."
66,"FAQ accordion is not implemented as an accessible expandable control: The FAQ accordion headers are implemented using non-semantic <div> elements that are visually interactive but are not exposed as interactive controls to assistive technologies. The accordion items are not keyboard accessible and do not provide the required semantic information, including their role and expanded/collapsed state. Additionally, the relationship between each accordion header and its associated content panel is not programmatically defined.

As a result, keyboard users cannot operate the accordion using standard keyboard interactions, and screen reader users are unable to identify the elements as expandable controls or determine whether an item is expanded or collapsed.",Captain Pro Golf Rangefinder,None,Not Started,"2.1.1 Keyboard – Level A
1.3.1 Info and Relationships – Level A
4.1.2 Name, Role, Value – Level A",Unassigned,01/01/1970,"Implement each FAQ header as a native <button> element or an element with role=""button"" that supports keyboard interaction (Enter and Space). Expose the current state using aria-expanded, associate the header with its content panel using aria-controls, and ensure the content panel references its controlling header using aria-labelledby. The accordion should follow the WAI-ARIA Accordion Authoring Pattern to provide a consistent and accessible experience."
67,"Missing table caption describing the purpose of the comparison table: The product comparison table does not include a programmatically associated <caption> element describing the purpose of the table. As a result, screen reader users are not informed about what the table represents before navigating through its rows and columns. They must explore multiple headers and cells to determine that the table compares features across different products, increasing cognitive effort and reducing efficiency.",Captain Pro Golf Rangefinder,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Add a descriptive <caption> element as the first child of the <table> to clearly identify the purpose of the table (e.g., ""Comparison of Series 3 Max+, Captain Air, and Captain Pro features""). Ensure the caption is programmatically associated with the table and accurately describes its content. If a visible caption is not desired, it may be visually hidden while remaining available to assistive technologies."
68,"Custom checkbox is not fully keyboard and screen reader accessible: The custom checkbox is not fully accessible to keyboard and assistive technology users. During testing, the checkbox could not be reliably operated using the keyboard, and its checked/unchecked state was not consistently conveyed to screen readers. As a result, users who rely on keyboard navigation or assistive technologies may be unable to select or deselect the option, preventing them from enabling the associated membership offer.",Captain Pro Golf Rangefinder,None,Not Started,"2.1.1 Keyboard – Level A
4.1.2 Name, Role, Value – Level A
1.3.1 Info and Relationships (Level A)",Unassigned,01/01/1970,"Implement the checkbox using the native HTML <input type=""checkbox""> without interfering with its default keyboard behavior. Ensure the checkbox:

Is reachable using the Tab key.
Can be toggled using the Spacebar.
Exposes its checked and unchecked state programmatically to assistive technologies.
Has an accessible name that includes the associated label text.
If a custom checkbox implementation is used, apply the appropriate ARIA semantics (e.g., role=""checkbox"" and dynamically update aria-checked) while preserving full keyboard operability."
69,"Thumbnail gallery does not expose the currently selected image: The thumbnail navigation visually indicates the active image using the is-active class, but this state is not conveyed programmatically. Users of assistive technologies cannot determine which thumbnail corresponds to the currently displayed product image.",Captain Pro Golf Rangefinder,None,Not Started,"4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Expose the selected thumbnail using aria-current=""true"" or aria-selected=""true"" and update the state whenever a different image is selected."
70,"Inactive carousel slides remain in the accessibility tree: Inactive slides remain present in the DOM and only use aria-hidden=""true"". If focusable elements within hidden slides are not removed from the tab order or otherwise managed, assistive technologies and keyboard users may encounter hidden or inactive content.",Captain Pro Golf Rangefinder,None,Not Started,"2.4.3 Focus Order (Level A)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Ensure that only the active slide is exposed to assistive technologies. Remove focusability from interactive elements within inactive slides (e.g., using tabindex=""-1"" or the inert attribute where supported), and update the accessibility tree dynamically as the active slide changes."
71,"Product image carousel is not announced as a carousel: The product image gallery is implemented as a carousel; however, it is not programmatically identified as one. The carousel container does not expose an accessible name, role, or instructions indicating that it contains multiple product images. Screen reader users may not understand that they are interacting with an image carousel or how to navigate through the available images.",Captain Pro Golf Rangefinder,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Programmatically identify the carousel using an appropriate landmark or grouping (e.g., role=""region"" or role=""group"") and provide a descriptive accessible name such as ""Product image gallery"" using aria-label or aria-labelledby. If keyboard interaction is supported, provide concise instructions for navigating the carousel."
72,"Insufficient color contrast for text: The contrast ratio between the foreground color of the gray text with its blue background color is below the required 4.5:1 ratio.

 Foreground colour: #505050
 Background colour: #000000
 Contrast ratio: 2.6:1",Captain Pro Golf Rangefinder,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
73,"Video does not provide play and pause controls: The promotional video starts playing automatically in a continuous loop (autoplay and loop) and does not provide visible controls to play, pause, or stop the playback. Users, particularly keyboard-only users and users with cognitive, attention, or vestibular disabilities, cannot pause or stop the moving content, which may be distracting and interfere with reading or interacting with other page content.",Captain Pro Golf Rangefinder,None,Not Started,"2.2.2 Pause, Stop, Hide (Level A)",Unassigned,01/01/1970,"Provide accessible playback controls that allow users to play, pause, and stop the video using both keyboard and assistive technologies. Ensure the controls are keyboard operable, have descriptive accessible names, and receive visible keyboard focus. If the video plays automatically, provide a pause control that is available immediately when the video begins playing."
74,Incorrect heading level: Incorrect heading level <h4> provided for 'CAPTAIN PRO CONNECTED GPS RANGEFINDER' instead of <h2>.,Captain Pro Golf Rangefinder,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Make sure heading levels are structured in a hierarchical manner. This makes navigation much faster for screen reader and keyboard users.

In this case, replace <h4> tag with <h2> element.

Example code:
<h2>CAPTAIN PRO CONNECTED GPS RANGEFINDER</h2>

Resources
HeadingsMap extension:
https://chrome.google.com/webstore/detail/headingsmap/flbjommegcjonpdmenkdiocclhjacmbi

Headings and page structure:
https://www.w3.org/WAI/tutorials/page-structure/headings/"
75,"Add to Cart button does not provide a descriptive accessible name: The ""Add to Cart"" button uses the accessible name ""ADD TO CART PRODUCTS"", which is generic and does not identify the specific product being added to the cart. When multiple ""Add to Cart"" buttons are present across the website (e.g., product listings, recommendations, or related products), screen reader users cannot determine which product each button is associated with.",Captain Pro Golf Rangefinder,None,Not Started,"2.4.6 Headings and Labels (Level AA)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Ensure the button's accessible name clearly identifies the associated product. Include the product name within the accessible name, for example, ""Add Captain Pro Connected Rangefinder to cart"". This can be achieved using aria-label, aria-labelledby, or by programmatically associating the button with the corresponding product title."
